181;62;Šťastné Vinařství;Blučina;Muscaris;B;PS;2021;Musc;polosuché;;7;85;;
191;114;Šindelka Jan;Podolí u Brna;Müller Thurgau;B;;2022;MT;;;4;72;;
192;50;Braunovi Rodinné vinařství;Šatov;Müller Thurgau;B;;2023;MT;polosuché;;4;80;;
193;105;Znovín Znojmo, a.s.;Šatov;Müller Thurgau;B;;2022;MT;suché;;4;85;;
194;96;Vinný skípek u Hanzelů;Miroslavské Knínice;Müller Thurgau;B;PS;2022;MT;;Batonáž;4;74;;
195;98;Víno Pokorný;Chvalovice;Müller Thurgau;B;;2022;MT;polosladké;;4;84;;
196;35;Kratochvíl František ml.;Sokolnice;Müller Thurgau;B;;2022;MT;;;4;nehodnoceno;;
197;40;Macháček Pavel;Mělčany;Müller Thurgau;B;;2022;MT;;;4;85;;
198;127;Smištík P + J;Ořechov;Müller Thurgau;B;;2023;MT;;;4;83;;
199;128;Horký Petr;Ořechov;Müller Thurgau;B;;2023;MT;;;4;86;;
200;104;Zmrzlý Zdeněk;Sokolnice;Müller Thurgau;B;;2022;MT;;;4;79;;
201;30;Konečný Ladislav;Brno-Bohunice;Müller Thurgau;B;;2019;MT;;;4;75;;
202;129;Švehlík Zbyněk;Telnice;Müller Thurgau;B;;2022;MT;;;4;75;;
203;32;Kořenek winary s.r.o.;Brno;Müller Thurgau;B;PS;2023;MT;;;4;78;;
204;7;Černá Jitka;Brno;Müller Thurgau;B;;2022;MT;;;4;73;;
205;75;Vinařství Habřina;Bořetice;Müller Thurgau;B;;2023;MT;polosuché;;4;88;;
206;70;Turčínek Pavel;Brno-Starý Lískovec;Müller Thurgau;B;;2023;MT;;;4;72;;
207;59;Svoboda Pavel;Boršice;Müller Thurgau;B;;2023;MT;;;4;78;;
211;60;Špillar František;Hodonice;Neuburské;B;PS;2022;Ng;;;2;78;;
212;88;Vinařství Thaya;Hnanice;Neuburské;B;;2021;Ng;suché;;2;84;;
213;118;Vinařství Hamala;Miroslav;Neuburské;B;;2022;Ng;;;2;73;;
214;22;Chrbját Lukáš;Osvětimany;Neuburské;B;PS;2022;Ng;;;2;78;;
215;130;Mrákava René;Josefov;Neuburské;B;;2022;Ng;;;2;76;;
216;131;Huták Rudolf;Klobouky u Brna;Neuburské;B;;2020;Ng;;;2;86;;
217;116;Gärtner Jiří;Klobouky u Brna;Neuburské;B;;2022;Ng;;;2;70;;
218;31;Koráb František;Boleradice;Neuburské;B;;2022;Ng;;;2;83;;
221;36;Kučera Michal;Sokolnice;Pálava;B;VzH;2022;Pa;;;3;84;;
222;83;Vinařství Olejník;Nový Šaldorf;Pálava;B;;2022;Pa;polosladké;;3;88;;
223;90;Vinařství u Stehlíků;Nový Šaldorf;Pálava;B;;2022;Pa;polosladké;;3;87;;
224;101;Víno z Trboušan;Trboušany;Pálava;B;;2022;Pa;sladké;;3;90;;
225;81;Vinařství Líbal s.r.o.;Horní Dunajovice;Pálava;B;VzH;2021;Pa;sladké;;3;87;;
226;60;Špillar František;Hodonice;Pálava;B;VzH;2022;Pa;;;3;86;;
227;98;Víno Pokorný;Chvalovice;Pálava;B;;2022;Pa;polosladké;;3;84;;
228;105;Znovín Znojmo, a.s.;Šatov;Pálava;B;VzH;2021;Pa;polosuché;Od tří dubů;3;84;;
229;112;Víno Mikulenčák;Slup;Pálava;B;;2022;Pa;polosladké;;3;86;;
230;54;Slanina Jan;Obřany;Pálava;B;;2022;Pa;;;3;70;;
231;133;Šmukař Josef;Starovičky;Pálava;B;;2022;Pa;;;3;81;;
232;80;Vinařství Kamil Osička;Dolní Kounice;Pálava;B;;2022;Pa;polosladké;;3;84;;
233;62;Šťastné Vinařství;Blučina;Pálava;B;VzH;2020;Pa;polosuché;;3;78;;
234;102;Vranka Libor;Boršice;Pálava;B;VzH;2022;Pa;;;3;86;;
235;134;Sýkora Josef;Brno;Pálava;B;;2021;Pa;;;3;71;;
236;154;Vinařství Rathouzský;Moravské Bránice;Pálava;B;;2020;Pa;suché;;3;81;;
237;78;Vinařství Jan Plaček;Moravské Bránice;Pálava;B;PS;2022;Pa;suché;;3;84;;
241;90;Vinařství u Stehlíků;Nový Šaldorf;Rulandské bílé;B;;2022;RB;;;6;88;;
242;56;Strýček Josef;Brno;Rulandské bílé;B;;2022;RB;;;6;78;;
243;131;Huták Rudolf;Klobouky u Brna;Rulandské bílé;B;;2022;RB;;;6;82;;
244;135;Halinár Matej;Trboušany;Rulandské bílé;B;;2022;RB;;;6;75;;
245;136;Nečas Radek;Velké Němčice;Rulandské bílé;B;PS;2022;RB;;;6;86;;
246;137;Durník V.;Boršice;Rulandské bílé;B;PS;2021;RB;;;6;76;;
247;138;Hrdlička Miloslav;Žatčany;Rulandské bílé;B;;2022;RB;;;6;82;;
248;7;Černá Jitka;Brno;Rulandské bílé;B;;2022;RB;;;6;82;;
249;75;Vinařství Habřina;Bořetice;Rulandské bílé;B;PS;2022;RB;suché;;6;88;;
261;25;Janda Lubomír;Brno-Bohunice;Rulandské šedé;B;;2023;RŠ;;;6;75;;
262;101;Víno z Trboušan;Trboušany;Rulandské šedé;B;;2022;RŠ;suché;;6;68;;
263;20;Huška Tomáš;Čejkovice;Rulandské šedé;B;VzH;2022;RŠ;;;6;80;;
264;20;Huška Tomáš;Čejkovice;Rulandské šedé;B;VzH;2021;RŠ;;;6;83;;
265;30;Konečný Ladislav;Brno-Bohunice;Rulandské šedé;B;;2018;RŠ;;;6;84;;
266;106;Životský Jakub;Sokolnice;Rulandské šedé;B;VzH;2021;RŠ;;;6;71;;
267;48;Privarčák Jan;Želešice;Rulandské šedé;B;PS;2021;RŠ;;;6;83;;
268;119;Adámkovi J. a A.;Chvalovice;Rulandské šedé;B;;2022;RŠ;suché;;6;82;;
269;98;Víno Pokorný;Chvalovice;Rulandské šedé;B;;2022;RŠ;polosuché;;6;86;;
270;124;Vinařství Sonberk;Popice;Rulandské šedé;B;PS;2022;RŠ;suché;;6;83;;
271;61;Špíšek Milan;Brno;Rulandské šedé;B;PS;2022;RŠ;;;6;83;;
272;40;Macháček Pavel;Mělčany;Rulandské šedé;B;;2022;RŠ;;;6;86;;
273;102;Vranka Libor;Boršice;Rulandské šedé;B;VzH;2022;RŠ;;;6;87;;
274;136;Nečas Radek;Velké Němčice;Rulandské šedé;B;PS;2021;RŠ;suché;;6;77;;
275;75;Vinařství Habřina;Bořetice;Rulandské šedé;B;PS;2022;RŠ;suché;;6;80;;
276;10;Dvořák Zdeněk;Dolní Kounice;Rulandské šedé;B;PS;2022;RŠ;;;6;83;;
281;30;Konečný Ladislav;Brno-Bohunice;Reichensteiner;B;;2022;Rei;;;4;84;;
291;83;Vinařství Olejník;Nový Šaldorf;Rivaner;B;;2023;Riv;;;1;84;;
301;98;Víno Pokorný;Chvalovice;Ryzlink rýnský;B;;2022;RR;polosuché;;2;82;;
302;51;Rodinné vinařství Fila;Chvalovice;Ryzlink rýnský;B;;2022;RR;polosuché;;2;81;;
303;2;Adámkovo vinařství s.r.o.;Višňové;Ryzlink rýnský;B;PS;2021;RR;suché;;2;84;;
304;105;Znovín Znojmo, a.s.;Šatov;Ryzlink rýnský;B;PS;2022;RR;suché;;2;88;;
305;86;Vinařství Roman Komarov;Ivančice;Ryzlink rýnský;B;PS;2021;RR;suché;;2;86;;
306;112;Víno Mikulenčák;Slup;Ryzlink rýnský;B;;2022;RR;polosuché;;2;83;;
307;90;Vinařství u Stehlíků;Nový Šaldorf;Ryzlink rýnský;B;;2022;RR;polosuché;;2;82;;
308;119;Adámkovi J. a A.;Chvalovice;Ryzlink rýnský;B;;2012;RR;polosuché;;2;86;;
309;119;Adámkovi J. a A.;Chvalovice;Ryzlink rýnský;B;;2011;RR;suché;;2;82;;
310;139;Hanzlíček Martin;Ořechov;Ryzlink rýnský;B;;2015;RR;;;2;76;;
311;127;Smištík P + J;Ořechov;Ryzlink rýnský;B;PS;2023;RR;;;2;82;;
312;34;Kratochvíl František;Sokolnice;Ryzlink rýnský;B;PS;2022;RR;;;2;83;;
313;140;Životský Petr;Sokolnice;Ryzlink rýnský;B;VzH;2016;RR;;;2;70;;
314;83;Vinařství Olejník;Nový Šaldorf;Ryzlink rýnský;B;;2022;RR;suché;;2;81;;
315;24;Janda Lubomír;Miroslavské Knínice;Ryzlink rýnský;B;PS;2022;RR;;;2;79;;
316;40;Macháček Pavel;Mělčany;Ryzlink rýnský;B;;2022;RR;;;2;78;;
317;130;Mrákava René;Josefov;Ryzlink rýnský;B;;2022;RR;;;2;70;;
318;122;Vinařství Buriánkovi;Hlohovec;Ryzlink rýnský;B;;2022;RR;polosuché;;2;79;;
319;133;Šmukař Josef;Starovičky;Ryzlink rýnský;B;;2022;RR;;;2;82;;
320;22;Chrbját Lukáš;Osvětimany;Ryzlink rýnský;B;PS;2020;RR;;;2;77;;
321;161;Bělehrádek Lubomír;Rebešovice;Ryzlink rýnský;B;PS;2022;RR;;;2;80;;
322;141;Záblatský Daniel;Drnholec;Ryzlink rýnský;B;PS;2022;RR;suché;;2;83;;
323;142;Mrkvica Milan;Velké Němčice;Ryzlink rýnský;B;;2022;RR;;;2;65;;
324;46;Pavlas Jan;Želešice;Ryzlink rýnský;B;;2020;RR;;;2;82;;
325;143;Šabata Pavel;Velké Němčice;Ryzlink rýnský;B;kab.;2022;RR;;;2;89;;
326;144;Vinařství Petr Samson;Velké Němčice;Ryzlink rýnský;B;;2020;RR;suché;;2;79;;
327;37;Lambeck, s.r.o.;Znojmo;Ryzlink rýnský;B;;2022;RR;suché;;2;89;;
328;10;Dvořák Zdeněk;Dolní Kounice;Ryzlink rýnský;B;PS;2022;RR;;;2;72;;
329;78;Vinařství Jan Plaček;Moravské Bránice;Ryzlink rýnský;B;PS;2022;RR;suché;;2;84;;
330;171;Vinařství Lažek;Ostrožská Nová Ves;Ryzlink rýnský;B;PS;2020;RR;;;2;77;;
341;145;Měšťánek V.;Boršice;Ryzlink vlašský;B;PS;2020;RV;;;4;70;;
